Disease,Description
Fungal infection,"A fungal infection is caused by fungi affecting skin, nails, or mucous membranes. Consult a dermatologist for antifungal treatment."
Allergy,An allergy is an immune reaction to a foreign substance. Avoid triggers and consult an allergist.
GERD,Gastroesophageal reflux disease causes stomach acid to flow into the esophagus. Dietary changes and medication help.
Chronic cholestasis,A liver condition where bile flow is impaired. Requires medical evaluation and management.
Drug Reaction,An adverse reaction to medication. Stop the suspected drug and consult your doctor immediately.
Peptic ulcer disease,Sores in the stomach lining or small intestine. Caused by H. pylori or NSAIDs. Requires medical treatment.
AIDS,Advanced stage of HIV infection affecting the immune system. Requires immediate specialist care and antiretroviral therapy.
Diabetes,A metabolic disorder with elevated blood glucose. Requires lifestyle changes and medication. Monitor blood sugar regularly.
Gastroenteritis,"Inflammation of the stomach and intestines, often from infection. Stay hydrated and rest."
Bronchial Asthma,A chronic respiratory condition causing airway inflammation. Use inhalers as prescribed and avoid triggers.
Hypertension,High blood pressure that can lead to serious complications. Requires medication and lifestyle changes.
Migraine,Severe recurrent headaches with nausea and sensitivity to light. Consult a neurologist for management.
Cervical spondylosis,Age-related wear on the cervical spine. Physiotherapy and pain management are recommended.
Paralysis (brain hemorrhage),Bleeding in the brain causing loss of function. THIS IS A MEDICAL EMERGENCY. Call emergency services immediately.
Jaundice,Yellowing of skin/eyes due to liver dysfunction. Requires immediate medical evaluation.
Malaria,A mosquito-borne infection causing fever and chills. Requires antimalarial medication promptly.
Chicken pox,"A viral infection causing itchy rash and blisters. Rest, fluids, and antiviral medication if severe."
Dengue,A mosquito-borne viral disease with severe fever. Monitor platelet count and seek medical care.
Typhoid,A bacterial infection from contaminated food/water. Requires antibiotics and medical supervision.
Hepatitis A,A viral liver infection spread through contaminated food/water. Rest and supportive care required.
Hepatitis B,A viral liver infection spread through blood/body fluids. Requires antiviral treatment.
Hepatitis C,A blood-borne viral liver infection. Highly treatable with modern antiviral drugs.
Hepatitis D,A liver infection that occurs with Hepatitis B. Requires specialist care.
Hepatitis E,A viral liver disease from contaminated water. Usually self-limiting but can be severe in pregnancy.
Alcoholic hepatitis,Liver inflammation from excessive alcohol use. Stop alcohol immediately and seek medical care.
Tuberculosis,A bacterial lung infection spread through air. Requires a long course of antibiotics.
Common Cold,"A mild viral respiratory infection. Rest, fluids, and over-the-counter medication for symptom relief."
Pneumonia,A lung infection causing inflammation. Requires antibiotics and possibly hospitalization.
Dimorphic hemorrhoids (piles),"Swollen veins in the rectum or anus. Dietary fiber, hydration, and medical treatment help."
Heart attack,Blockage of blood flow to the heart. THIS IS A MEDICAL EMERGENCY. Call emergency services immediately.
Varicose veins,"Enlarged, twisted veins usually in the legs. Compression stockings and medical evaluation recommended."
Hypothyroidism,Underactive thyroid gland. Requires thyroid hormone replacement therapy.
Hyperthyroidism,Overactive thyroid gland. Requires medication or other treatments to reduce thyroid activity.
Hypoglycemia,Low blood sugar causing weakness and confusion. Consume glucose immediately and consult your doctor.
Osteoarthritis,"Degeneration of joint cartilage. Pain management, physiotherapy, and lifestyle changes help."
Arthritis,Inflammation of joints causing pain and stiffness. Medical treatment and physiotherapy are recommended.
(Vertigo) Paroxysmal Positional Vertigo,Brief episodes of dizziness from inner ear issues. Repositioning maneuvers and medication help.
Acne,A skin condition causing pimples and blackheads. Topical treatments and dermatologist care recommended.
Urinary tract infection,Bacterial infection of the urinary tract. Requires antibiotics. Drink plenty of water.
Psoriasis,"A chronic skin condition causing red, scaly patches. Requires dermatologist-prescribed treatment."
Impetigo,A highly contagious bacterial skin infection. Requires antibiotic treatment.
