Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,dischromic_patches,skin_rash,,,,,,,,,,,,,,Fungal infection
dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,Fungal infection
skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,,Fungal infection
itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,skin_rash,dischromic_patches,itching,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,skin_rash,,,,,,,,,,,,,,,Fungal infection
skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,skin_rash,itching,,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,,Fungal infection
itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
skin_rash,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,Fungal infection
itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,Fungal infection
itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
skin_rash,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,Fungal infection
itching,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,,Fungal infection
dischromic_patches,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,,Fungal infection
shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
watering_from_eyes,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,Allergy
chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,Allergy
chills,shivering,continuous_sneezing,,,,,,,,,,,,,,,Allergy
shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,Allergy
shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,chills,,,,,,,,,,,,,,,Allergy
chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,Allergy
shivering,continuous_sneezing,watering_from_eyes,chills,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,Allergy
chills,watering_from_eyes,shivering,,,,,,,,,,,,,,,Allergy
shivering,continuous_sneezing,chills,,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,Allergy
continuous_sneezing,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,Allergy
chills,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,,,,,,,,,,,,,,,Allergy
continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,Allergy
watering_from_eyes,chills,continuous_sneezing,shivering,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,shivering,,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,,,,,,,,,,,,,,,Allergy
chills,watering_from_eyes,shivering,,,,,,,,,,,,,,,Allergy
chills,watering_from_eyes,shivering,,,,,,,,,,,,,,,Allergy
chills,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
watering_from_eyes,chills,shivering,,,,,,,,,,,,,,,Allergy
chills,shivering,continuous_sneezing,,,,,,,,,,,,,,,Allergy
chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,Allergy
watering_from_eyes,shivering,continuous_sneezing,chills,,,,,,,,,,,,,,Allergy
continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,Allergy
shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,Allergy
shivering,continuous_sneezing,chills,,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,Allergy
watering_from_eyes,chills,continuous_sneezing,shivering,,,,,,,,,,,,,,Allergy
watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,,Allergy
watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,,,Allergy
continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,Allergy
watering_from_eyes,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,Allergy
shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,Allergy
chills,shivering,continuous_sneezing,,,,,,,,,,,,,,,Allergy
shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,Allergy
shivering,continuous_sneezing,chills,,,,,,,,,,,,,,,Allergy
